Run,Lap,Lap time,Started at,Driver,Clean,Pit in,Pit out,Track temp,Track usage,Air temperature,Cloud cover,Air density,Air pressure,Wind velocity,Wind direction,Relative humidity,Fog level,Precipitation,Track Wetness,Fuel level,Fuel used,Fuel added,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12
1,0,266.858048834,2026-04-04T17:42:32Z,Nate Forry,0,0,0,32.67776870727539,57,18.427769,2,1.1114981,93708.875,5.9618483,2.1905205,0.8508255,0,0,0,99,1.4292312,0,,,,,,,,,,,221.677687045,45.188979621
1,1,528.000778738,2026-04-04T17:46:58Z,Nate Forry,0,1,0,20,57,18.424992,2,1.1107208,93655.98,6.3754315,2.0960686,0.8672683,0,0,0,97.57077,11.966862,0,44.311888661,36.043771466,65.050013255,46.060829639,36.254540551,49.483317069,35.101948506,42.783369977,43.091323589,40.152201722,57.732686709,31.934108856
2,2,544.787295383,2026-04-04T17:55:46Z,Nate Forry,0,0,1,20.555572509765625,57,18.419174,3,1.1090928,93545.195,5.801456,2.0788026,0.9017042,0,0,0,85.603905,12.924566,13.400085,80.836023667,32.510449273,61.398446221,44.798340603,36.189096153,50.066517242,34.789640361,40.544636356,42.583670494,40.055875991,57.391351009,23.619285962
3,3,495.01458740234375,2026-04-04T18:04:51Z,Nate Forry,1,0,0,21.111114501953125,57,18.426052,3,1.1077751,93430.15,6.32558,2.0119252,0.89262664,0,0,0,86.07943,12.707286,0,36.830295702,31.749323061,59.660387427,43.808779401,34.09304507,49.326631772,35.003344471,39.696433494,42.377042845,40.339863187,58.61763623,23.513884006
3,4,509.69488525390625,2026-04-04T18:13:06Z,Nate Forry,0,0,1,21.111114501953125,57,18.433613,3,1.1064804,93315.33,6.4679685,2.0248973,0.8811458,0,0,0,73.37214,12.727958,0,37.28508504,31.565841244,59.907644932,43.499799829,34.273560739,49.433089323,34.780436185,40.322255641,42.13799479,55.517131318,57.408525574,23.568635389
3,5,505.437281638,2026-04-04T18:21:35Z,Nate Forry,0,1,0,20.555572509765625,57,18.430658,3,1.1042563,93153.01,6.605373,2.1540542,0.9122199,0,0,0,60.644184,12.687724,0,36.535077236,31.628733457,59.679863616,43.691043171,33.938643141,49.84418651,34.880559244,40.408653284,42.510155191,39.923469546,62.275712258,30.117236685
4,6,542.986083984375,2026-04-04T18:30:01Z,Nate Forry,1,0,1,20,57,18.4302,3,1.1027291,93036.234,6.6116123,2.2446723,0.92622715,0,0,0,47.95646,12.926528,51.04597,84.398697819,32.646209178,60.526479775,43.777624711,34.856360205,49.114660821,34.855911359,40.179950759,42.03729352,40.068777975,57.08239945,23.422301101
4,7,493.4284973144531,2026-04-04T18:39:04Z,Nate Forry,0,0,0,20,57,18.435635,3,1.1027153,93016.8,6.998699,2.2267637,0.90095735,0,0,0,86.075905,12.791433,0,36.297490186,31.432584967,60.47373496,43.318236,34.449931625,48.963432419,34.91539059,39.572546087,42.443752311,41.332663871,56.942677837,23.290892486
4,8,506.1671142578125,2026-04-04T18:47:17Z,Nate Forry,1,0,0,21.111114501953125,57,18.439444,3,1.1030055,93026.04,6.8091035,2.3408926,0.8804542,0,0,0,73.28447,12.653523,0,36.599672852,31.244380646,71.219362551,43.620644486,34.740260033,50.196777236,34.930810097,40.506627059,42.034318586,40.360938097,57.215256275,23.497618746
4,9,501.710917078,2026-04-04T18:55:43Z,Nate Forry,0,1,0,21.666656494140625,57,18.442556,3,1.1035166,93054.45,6.780509,2.405651,0.86115295,0,0,0,60.630947,12.554982,0,36.807637663,31.466677561,59.519924528,43.555034762,34.472368605,49.002883095,34.715459795,39.731554517,41.768377601,40.580033259,56.764340029,33.332375244
5,10,567.5377807617188,2026-04-04T19:04:05Z,Nate Forry,0,0,1,21.666656494140625,57,18.442991,3,1.1029603,93009.09,6.7053156,2.540775,0.86244816,0,0,0,48.075962,12.873658,50.92982,99.744084127,40.135247697,60.721542989,43.649177562,35.13205353,49.777260995,35.050576099,40.662326352,41.243299205,40.308503493,57.645544862,23.463716414
5,11,493.4674072265625,2026-04-04T19:13:33Z,Nate Forry,1,0,0,21.666656494140625,57,18.444273,3,1.1021019,92941.055,6.412997,2.6166444,0.86661565,0,0,0,86.132126,12.627292,0,37.002225975,31.444864696,59.960699648,43.470783122,34.318228471,49.0296242,34.917831517,39.929607694,41.81124452,40.425305386,57.787711942,23.368539489
